Code,ForecastDate,ForecastType,ForecastStart,ForecastEnd,PrecipitationProbability,WeatherConditions,PrecipitationType,ExpectedPrecipitationAmount,MinimumTemperature,MaximumTemperature,WindDirection,WindSpeed,PrecipitationAmountDay,Notes,global_id
764562,01.01.2023,трехчасовой прогноз,01.01.2023,01.01.2023,,,снег,,3,5,,,,"Днем временами дождь 2-4 мм, температура 3…5 градусов, ветер юго-западный 7-12 м/сек. Ночью временами осадки 2-4 мм, температура 0…+2 градуса, ветер западный 5-10 м/сек, местами порывы 12-15 м/сек.",2452541736
764758,02.01.2023,трехчасовой прогноз,02.01.2023,02.01.2023,,,снег,,-2,1,,,,"Днем без существенных осадков 0-0,2 мм, местами гололедица, температура -1…+1 градус, понижение к вечеру до -2 градусов, ветер западный 7-12 м/сек. Во второй половине ночи временами снег 1-3 мм, прирост снега 1-3 см, температура -4…-2 градуса, ветер южный 5-10 м/сек.",2452541763
764953,03.01.2023,трехчасовой прогноз,03.01.2023,03.01.2023,,,снег,,1,3,,,,"Днем временами осадки (снег, дождь) 4-7 мм, прирост снега 2-4 см, утром возможен гололед, температура 1…3 градуса, ветер западный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью временами снег 1-2 мм, прирост снега 1-2 см, температура -4…-2 градуса, ветер западный, северо-западный 5-10 м/сек, местами порывы 12-14 м/сек.",2452545156
765149,04.01.2023,трехчасовой прогноз,04.01.2023,04.01.2023,,,снег,,-4,-2,,,,"Днем местами небольшой снег 0-1 мм, прирост снега 0-1 см, температура -4…-2 градуса, ветер северо-западный 5-10 м/сек. Ночью местами небольшой снег 0-1 мм, прирост снега 0-1 см, температура -7…-5 градусов, ветер северо-западный 3-8 м/сек.",2452548849
765345,05.01.2023,трехчасовой прогноз,05.01.2023,05.01.2023,,,снег,,-7,-5,,,,"Днем местами небольшой снег 0-1 мм, прирост снега 0-1 см, температура -7…-5 градусов, ветер северо-восточный 3-8 м/сек. Ночью местами небольшой снег 0-1 мм, прирост снега 0-1 см, температура -19…-17 градусов, ветер северо-восточный 3-8 м/сек.",2452936665
765519,06.01.2023,трехчасовой прогноз,06.01.2023,06.01.2023,,,снег,,-19,-17,,,,"Днем без существенных осадков 0-0,2 мм, температура -19…-17 градусов, ветер северо-восточный 3-8 м/сек. Ночью без существенных осадков 0-0,2 мм, температура -25…-23 градуса, ветер северный 3-8 м/сек.",2452938418
765715,07.01.2023,трехчасовой прогноз,07.01.2023,07.01.2023,,,снег,,-21,-19,,,,"Днем без существенных осадков 0-0,2 мм, температура -21…-19 градусов, ветер северо-западный 3-8 м/сек. Ночью без осадков, температура -24…-22 градуса, ветер северо-западный 2-7 м/сек.",2467940643
765900,08.01.2023,трехчасовой прогноз,08.01.2023,08.01.2023,,,снег,,-17,-15,,,,"Днем без существенных осадков 0-0,2 мм, температура -17…-15 градусов, ветер западный 2-7 м/сек. Ночью без осадков, температура -22…-20 градусов, ветер слабый менее 5 м/сек.",2468905118
766085,09.01.2023,трехчасовой прогноз,09.01.2023,09.01.2023,,,снег,,-16,-14,,,,"Днем без осадков, температура -16…-14 градусов, ветер юго-восточный 3-8 м/сек. Ночью без осадков, температура -18…-16 градусов, ветер юго-восточный 5-10 м/сек.",2478912252
766280,10.01.2023,трехчасовой прогноз,10.01.2023,10.01.2023,,,снег,,-12,-10,,,,"Днем без существенных осадков 0-0,2 мм, температура -12…-10 градусов, ветер юго-восточный 5-10 м/сек, местами порывы 12-14 м/сек. Ночью без существенных осадков 0-0,2 мм, температура -14…-12 градусов, ветер южный 5-10 м/сек.",2493429008
